,,,travel_time,travel_time,travel_time,stopped_time,stopped_time,stopped_time
,,,count,mean,std,count,mean,std
try_number,priority_distance_m,mode,,,,,,
25,200.0,Priority OFF,10,83.4,71.609,10,23.6,28.841
25,200.0,Priority ON,10,65.5,46.285,10,1.8,2.86
26,50.0,Priority OFF,10,66.9,71.507,10,21.8,34.386
26,50.0,Priority ON,10,57.8,55.932,10,3.6,8.356
26,100.0,Priority OFF,10,66.9,71.507,10,21.8,34.386
26,100.0,Priority ON,10,49.8,39.021,10,0.5,0.707
26,150.0,Priority OFF,10,66.9,71.507,10,21.8,34.386
26,150.0,Priority ON,10,60.9,37.746,10,0.8,1.874
26,200.0,Priority OFF,10,66.9,71.507,10,21.8,34.386
26,200.0,Priority ON,10,59.6,40.178,10,2.2,4.872
27,50.0,Priority OFF,10,72.0,58.006,10,23.5,27.273
27,50.0,Priority ON,10,53.3,41.74,10,3.0,8.794
27,100.0,Priority OFF,10,72.0,58.006,10,23.5,27.273
27,100.0,Priority ON,10,44.5,27.686,10,2.0,5.637
27,150.0,Priority OFF,10,72.0,58.006,10,23.5,27.273
27,150.0,Priority ON,10,56.2,40.537,10,1.6,3.204
27,200.0,Priority OFF,10,72.0,58.006,10,23.5,27.273
27,200.0,Priority ON,10,45.1,35.498,10,2.0,5.292
28,50.0,Priority OFF,10,45.8,34.979,10,5.7,16.317
28,50.0,Priority ON,10,38.7,39.59,10,1.3,3.129
28,100.0,Priority OFF,10,45.8,34.979,10,5.7,16.317
28,100.0,Priority ON,10,63.8,46.609,10,2.1,5.626
28,150.0,Priority OFF,10,45.8,34.979,10,5.7,16.317
28,150.0,Priority ON,10,73.8,49.911,10,7.5,9.733
28,200.0,Priority OFF,10,45.8,34.979,10,5.7,16.317
28,200.0,Priority ON,10,60.1,45.632,10,1.9,4.358
29,50.0,Priority OFF,10,50.5,53.342,10,7.4,14.661
29,50.0,Priority ON,10,54.4,46.114,10,0.3,0.675
29,100.0,Priority OFF,10,50.5,53.342,10,7.4,14.661
29,100.0,Priority ON,10,47.8,43.583,10,0.2,0.422
29,150.0,Priority OFF,10,50.5,53.342,10,7.4,14.661
29,150.0,Priority ON,10,53.9,46.829,10,1.9,3.315
29,200.0,Priority OFF,10,50.5,53.342,10,7.4,14.661
29,200.0,Priority ON,10,63.8,47.45,10,1.8,2.898
30,50.0,Priority OFF,10,49.3,33.589,10,4.7,9.627
30,50.0,Priority ON,10,51.5,38.074,10,1.9,3.281
30,100.0,Priority OFF,10,49.3,33.589,10,4.7,9.627
30,100.0,Priority ON,10,49.7,41.026,10,0.8,1.476
30,150.0,Priority OFF,10,49.3,33.589,10,4.7,9.627
30,150.0,Priority ON,10,62.1,42.099,10,0.4,0.699
30,200.0,Priority OFF,10,49.3,33.589,10,4.7,9.627
30,200.0,Priority ON,10,64.8,43.199,10,1.5,2.677
