try_number,demand_scenario,preemption_strategy,hold_duration,priority_enabled,priority_distance,vehicle_id,start_time,end_time,travel_time
1,normal,none,0,False,0.0,111,201.0,406.0,205.0
1,normal,none,0,False,0.0,114,210.0,408.0,198.0
1,normal,none,0,False,0.0,138,250.0,408.0,158.0
1,normal,none,0,False,0.0,174,315.0,409.0,94.0
1,normal,none,0,False,0.0,108,196.0,411.0,215.0
1,normal,none,0,False,0.0,137,250.0,414.0,164.0
1,normal,none,0,False,0.0,118,214.0,415.0,201.0
1,normal,none,0,False,0.0,229,414.0,415.0,1.0
1,normal,none,0,False,0.0,157,284.0,416.0,132.0
1,normal,none,0,False,0.0,182,329.0,419.0,90.0
1,normal,none,0,False,0.0,231,417.0,421.0,4.0
1,normal,none,0,False,0.0,121,219.0,422.0,203.0
1,normal,none,0,False,0.0,159,290.0,423.0,133.0
1,normal,none,0,False,0.0,208,376.0,423.0,47.0
1,normal,none,0,False,0.0,212,385.0,424.0,39.0
1,normal,none,0,False,0.0,155,280.0,425.0,145.0
1,normal,none,0,False,0.0,173,313.0,426.0,113.0
1,normal,none,0,False,0.0,163,295.0,428.0,133.0
1,normal,none,0,False,0.0,132,239.0,429.0,190.0
1,normal,none,0,False,0.0,235,424.0,434.0,10.0
1,normal,none,0,False,0.0,168,304.0,439.0,135.0
1,normal,none,0,False,0.0,175,316.0,439.0,123.0
1,normal,none,0,False,0.0,134,243.0,444.0,201.0
1,normal,none,0,False,0.0,130,235.0,448.0,213.0
1,normal,none,0,False,0.0,145,262.0,449.0,187.0
1,normal,none,0,False,0.0,128,232.0,450.0,218.0
1,normal,none,0,False,0.0,190,343.0,453.0,110.0
1,normal,none,0,False,0.0,221,403.0,454.0,51.0
1,normal,none,0,False,0.0,129,234.0,455.0,221.0
1,normal,none,0,False,0.0,135,244.0,456.0,212.0
1,normal,none,0,False,0.0,215,392.0,458.0,66.0
1,normal,none,0,False,0.0,206,372.0,459.0,87.0
1,normal,none,0,False,0.0,160,289.0,460.0,171.0
1,normal,none,0,False,0.0,177,320.0,460.0,140.0
1,normal,none,0,False,0.0,183,331.0,460.0,129.0
1,normal,none,0,False,0.0,192,366.0,461.0,95.0
1,normal,none,0,False,0.0,198,358.0,461.0,103.0
1,normal,none,0,False,0.0,180,325.0,467.0,142.0
1,normal,none,0,False,0.0,252,455.0,471.0,16.0
1,normal,none,0,False,0.0,166,300.0,473.0,173.0
1,normal,none,0,False,0.0,207,374.0,473.0,99.0
1,normal,none,0,False,0.0,222,401.0,473.0,72.0
1,normal,none,0,False,0.0,122,221.0,479.0,258.0
1,normal,none,0,False,0.0,199,360.0,480.0,120.0
1,normal,none,0,False,0.0,205,370.0,480.0,110.0
1,normal,none,0,False,0.0,200,361.0,484.0,123.0
1,normal,none,0,False,0.0,176,322.0,485.0,163.0
1,normal,none,0,False,0.0,179,326.0,488.0,162.0
1,normal,none,0,False,0.0,267,482.0,489.0,7.0
1,normal,none,0,False,0.0,184,333.0,491.0,158.0
1,normal,none,0,False,0.0,151,273.0,494.0,221.0
1,normal,none,0,False,0.0,154,279.0,495.0,216.0
1,normal,none,0,False,0.0,195,352.0,496.0,144.0
1,normal,none,0,False,0.0,169,306.0,497.0,191.0
1,normal,none,0,False,0.0,242,437.0,498.0,61.0
1,normal,none,0,False,0.0,170,307.0,500.0,193.0
1,normal,none,0,False,0.0,268,484.0,500.0,16.0
1,normal,none,0,False,0.0,275,496.0,505.0,9.0
1,normal,none,0,False,0.0,243,439.0,507.0,68.0
1,normal,none,0,False,0.0,251,484.0,507.0,23.0
1,normal,none,0,False,0.0,276,498.0,508.0,10.0
1,normal,none,0,False,0.0,165,298.0,516.0,218.0
1,normal,none,0,False,0.0,250,451.0,517.0,66.0
1,normal,none,0,False,0.0,266,487.0,517.0,30.0
1,normal,none,0,False,0.0,240,435.0,521.0,86.0
1,normal,none,0,False,0.0,255,460.0,521.0,61.0
1,normal,none,0,False,0.0,204,369.0,522.0,153.0
1,normal,none,0,False,0.0,227,410.0,523.0,113.0
1,normal,none,0,False,0.0,194,351.0,524.0,173.0
1,normal,none,0,False,0.0,244,441.0,524.0,83.0
1,normal,none,0,False,0.0,139,256.0,526.0,270.0
1,normal,none,0,False,0.0,223,403.0,527.0,124.0
1,normal,none,0,False,0.0,290,523.0,530.0,7.0
1,normal,none,0,False,0.0,178,322.0,532.0,210.0
1,normal,none,0,False,0.0,245,442.0,532.0,90.0
1,normal,none,0,False,0.0,219,396.0,533.0,137.0
1,normal,none,0,False,0.0,171,309.0,534.0,225.0
1,normal,none,0,False,0.0,226,408.0,534.0,126.0
1,normal,none,0,False,0.0,279,504.0,535.0,31.0
1,normal,none,0,False,0.0,209,378.0,536.0,158.0
1,normal,none,0,False,0.0,213,389.0,537.0,148.0
1,normal,none,0,False,0.0,224,405.0,539.0,134.0
1,normal,none,0,False,0.0,216,390.0,540.0,150.0
1,normal,none,0,False,0.0,239,432.0,540.0,108.0
1,normal,none,0,False,0.0,263,475.0,541.0,66.0
1,normal,none,0,False,0.0,185,334.0,542.0,208.0
1,normal,none,0,False,0.0,264,477.0,547.0,70.0
1,normal,none,0,False,0.0,201,363.0,551.0,188.0
1,normal,none,0,False,0.0,247,449.0,551.0,102.0
1,normal,none,0,False,0.0,225,407.0,552.0,145.0
1,normal,none,0,False,0.0,274,504.0,556.0,52.0
1,normal,none,0,False,0.0,237,431.0,560.0,129.0
1,normal,none,0,False,0.0,210,379.0,561.0,182.0
1,normal,none,0,False,0.0,234,423.0,564.0,141.0
1,normal,none,0,False,0.0,203,367.0,565.0,198.0
1,normal,none,0,False,0.0,188,340.0,569.0,229.0
1,normal,none,0,False,0.0,269,486.0,569.0,83.0
1,normal,none,0,False,0.0,280,505.0,569.0,64.0
1,normal,none,0,False,0.0,238,430.0,573.0,143.0
1,normal,none,0,False,0.0,191,352.0,574.0,222.0
1,normal,none,0,False,0.0,254,461.0,577.0,116.0
1,normal,none,0,False,0.0,211,381.0,580.0,199.0
1,normal,none,0,False,0.0,249,452.0,580.0,128.0
1,normal,none,0,False,0.0,271,489.0,580.0,91.0
1,normal,none,0,False,0.0,256,462.0,583.0,121.0
1,normal,none,0,False,0.0,232,419.0,585.0,166.0
1,normal,none,0,False,0.0,187,339.0,586.0,247.0
1,normal,none,0,False,0.0,259,468.0,587.0,119.0
1,normal,none,0,False,0.0,262,473.0,589.0,116.0
1,normal,none,0,False,0.0,233,421.0,591.0,170.0
1,normal,none,0,False,0.0,265,478.0,591.0,113.0
1,normal,none,0,False,0.0,316,570.0,592.0,22.0
1,normal,none,0,False,0.0,306,558.0,596.0,38.0
1,normal,none,0,False,0.0,214,387.0,598.0,211.0
1,normal,none,0,False,0.0,309,558.0,598.0,40.0
1,normal,none,0,False,0.0,258,466.0,601.0,135.0
1,normal,none,0,False,0.0,220,397.0,602.0,205.0
1,normal,none,0,False,0.0,270,487.0,604.0,117.0
1,normal,none,0,False,0.0,294,531.0,604.0,73.0
1,normal,none,0,False,0.0,329,594.0,611.0,17.0
1,normal,none,0,False,0.0,296,534.0,612.0,78.0
1,normal,none,0,False,0.0,228,412.0,615.0,203.0
1,normal,none,0,False,0.0,283,511.0,619.0,108.0
1,normal,none,0,False,0.0,217,392.0,622.0,230.0
